county,residence,mean_monthly_kes,median_monthly_kes,year,source
Kirinyaga,Rural,7990.0,6657.0,2022,KCHS 2022
Kiambu,Rural,7434.0,6942.0,2022,KCHS 2022
Embu,Rural,7050.0,6117.0,2022,KCHS 2022
Taita/Taveta,Rural,6672.0,5134.0,2022,KCHS 2022
Nakuru,Rural,5941.0,5047.0,2022,KCHS 2022
Meru,Rural,5931.0,4930.0,2022,KCHS 2022
Nyandarua,Rural,5907.0,5300.0,2022,KCHS 2022
Nyamira,Rural,5902.0,5132.0,2022,KCHS 2022
Migori,Rural,5834.0,5017.0,2022,KCHS 2022
Machakos,Rural,5830.0,5004.0,2022,KCHS 2022
Kisumu,Rural,5742.0,4722.0,2022,KCHS 2022
National,Rural,5712.0,4881.0,2022,KCHS 2022
Vihiga,Rural,5694.0,4952.0,2022,KCHS 2022
Kajiado,Rural,5675.0,5436.0,2022,KCHS 2022
Baringo,Rural,5561.0,5349.0,2022,KCHS 2022
Trans Nzoia,Rural,5554.0,5082.0,2022,KCHS 2022
Bomet,Rural,5291.0,4669.0,2022,KCHS 2022
Kwale,Rural,5200.0,4489.0,2022,KCHS 2022
Busia,Rural,4979.0,4381.0,2022,KCHS 2022
Elgeyo/Marakwet,Rural,4848.0,4343.0,2022,KCHS 2022
Tana River,Rural,4792.0,3983.0,2022,KCHS 2022
Wajir,Rural,4526.0,3551.0,2022,KCHS 2022
West Pokot,Rural,4491.0,4051.0,2022,KCHS 2022
Marsabit,Rural,3825.0,3325.0,2022,KCHS 2022
Meru,Urban,14805.0,10750.0,2022,KCHS 2022
Nyamira,Urban,13496.0,9904.0,2022,KCHS 2022
Kiambu,Urban,13241.0,11682.0,2022,KCHS 2022
National,Urban,12978.0,9433.0,2022,KCHS 2022
Nairobi,Urban,12831.0,9433.0,2022,KCHS 2022
Trans Nzoia,Urban,12617.0,11219.0,2022,KCHS 2022
Nakuru,Urban,12560.0,11194.0,2022,KCHS 2022
Kajiado,Urban,12254.0,9093.0,2022,KCHS 2022
Mombasa,Urban,12072.0,11597.0,2022,KCHS 2022
Kirinyaga,Urban,12068.0,10326.0,2022,KCHS 2022
Kisumu,Urban,12056.0,9182.0,2022,KCHS 2022
Kwale,Urban,11520.0,10861.0,2022,KCHS 2022
Taita/Taveta,Urban,11516.0,10130.0,2022,KCHS 2022
Machakos,Urban,10657.0,9659.0,2022,KCHS 2022
Embu,Urban,10538.0,10896.0,2022,KCHS 2022
Bomet,Urban,10063.0,9462.0,2022,KCHS 2022
Migori,Urban,9522.0,9100.0,2022,KCHS 2022
Elgeyo/Marakwet,Urban,9393.0,8126.0,2022,KCHS 2022
Busia,Urban,9227.0,8775.0,2022,KCHS 2022
Vihiga,Urban,8967.0,7001.0,2022,KCHS 2022
Nyandarua,Urban,8578.0,7680.0,2022,KCHS 2022
Baringo,Urban,8549.0,8199.0,2022,KCHS 2022
Marsabit,Urban,7986.0,7287.0,2022,KCHS 2022
West Pokot,Urban,7720.0,6407.0,2022,KCHS 2022
Wajir,Urban,7167.0,5995.0,2022,KCHS 2022
Tana River,Urban,6893.0,6040.0,2022,KCHS 2022
