product,year,quarter,weight,index_value,change_since_2019
Cement,2021,Q1,14.18,97.22,-2.8
Cement,2021,Q2,14.18,97.66,-2.3
Cement,2021,Q4,14.18,96.32,-3.7
Cement,2022,Q1,14.18,102.52,2.5
Cement,2022,Q2,14.18,105.84,5.8
Cement,2022,Q3,14.18,102.79,2.8
Cement,2022,Q4,14.18,103.51,3.5
Cement,2023,Q1,14.18,104.11,4.1
Cement,2023,Q2,14.18,102.34,2.3
Cement,2023,Q3,14.18,102.79,2.8
Cement,2023,Q4,14.18,106.98,7.0
Cement,2024,Q1,14.18,110.71,10.7
Cement,2025,Q1,14.18,117.36,17.4
Cement,2025,Q2,14.18,120.44,20.4
Cement,2025,Q3,14.18,118.76,18.8
Cement,2025,Q4,14.18,117.6,17.6
Steel and reinforced bars,2021,Q1,10.69,120.78,20.8
Steel and reinforced bars,2021,Q2,10.69,126.87,26.9
Steel and reinforced bars,2021,Q3,10.69,129.29,29.3
Steel and reinforced bars,2021,Q4,10.69,131.81,31.8
Steel and reinforced bars,2022,Q1,10.69,183.72,83.7
Steel and reinforced bars,2022,Q2,10.69,189.19,89.2
Steel and reinforced bars,2022,Q3,10.69,171.44,71.4
Steel and reinforced bars,2022,Q4,10.69,168.58,68.6
Steel and reinforced bars,2023,Q1,10.69,172.81,72.8
Steel and reinforced bars,2023,Q2,10.69,172.61,72.6
Steel and reinforced bars,2023,Q3,10.69,175.25,75.3
Steel and reinforced bars,2023,Q4,10.69,175.88,75.9
Steel and reinforced bars,2024,Q1,10.69,177.86,77.9
Steel and reinforced bars,2025,Q1,10.69,173.44,73.4
Steel and reinforced bars,2025,Q2,10.69,175.99,76.0
Steel and reinforced bars,2025,Q3,10.69,184.99,85.0
Steel and reinforced bars,2025,Q4,10.69,177.12,77.1
Timber and Wood,2021,Q1,2.2,101.77,1.8
Timber and Wood,2021,Q2,2.2,102.64,2.6
Timber and Wood,2021,Q3,2.2,100.66,0.7
Timber and Wood,2021,Q4,2.2,99.57,-0.4
Timber and Wood,2022,Q2,2.2,98.41,-1.6
Timber and Wood,2022,Q3,2.2,98.54,-1.5
Timber and Wood,2022,Q4,2.2,97.52,-2.5
Timber and Wood,2023,Q1,2.2,97.54,-2.5
Timber and Wood,2023,Q2,2.2,96.54,-3.5
Timber and Wood,2023,Q3,2.2,97.32,-2.7
Timber and Wood,2023,Q4,2.2,98.57,-1.4
Timber and Wood,2024,Q1,2.2,95.79,-4.2
Timber and Wood,2025,Q1,2.2,101.4,1.4
Timber and Wood,2025,Q2,2.2,103.94,3.9
Timber and Wood,2025,Q4,2.2,99.19,-0.8
