year,region,cost_per_m2,yoy_change_pct,total_cost_55m2
2021,Nairobi/Mt Kenya,33450,,1839750
2021,Coast,35410,,1947550
2021,Western/Nyanza,36300,,1996500
2022,Nairobi/Mt Kenya,34650,3.59,1905750
2022,Coast,36250,2.37,1993750
2022,Western/Nyanza,36850,1.52,2026750
2023,Nairobi/Mt Kenya,41600,20.06,2288000
2023,Western/Nyanza,42000,13.98,2310000
2023,Coast,43250,19.31,2378750
2024,Nairobi/Mt Kenya,48750,17.19,2681250
2024,Western/Nyanza,48750,16.07,2681250
2024,Coast,51800,19.77,2849000
2025,Nairobi/Mt Kenya,54730,12.27,3010150
