year,quarter,category,product,weight,index_value
2021,Q1,Equipment,Compressors,3.04,99.45
2021,Q1,Equipment,Equipment-Concrete Mixer,5.16,100.0
2021,Q1,Equipment,Equipment-Concrete poker / Vibrator,2.36,100.0
2021,Q1,Equipment,Equipment-Excavator and Pedestrian Roller,2.64,99.3
2021,Q1,Labour,Carpenter/Painter/Welder/Mechanic,3.53,104.54
2021,Q1,Labour,Casual,6.67,106.99
2021,Q1,Labour,Machine /plant operators,0.91,100.38
2021,Q1,Labour,Mason/foreman,7.8,104.29
2021,Q1,Labour,Plumber/Electrician,0.52,102.38
2021,Q1,Labour,Watchman,2.01,106.49
2021,Q1,Materials,Ballast,4.5,98.13
2021,Q1,Materials,Cement /Lime,14.18,97.22
2021,Q1,Materials,Chip boards and MDF,1.01,98.96
2021,Q1,Materials,Damp Proofing and Anti-termite,0.58,91.42
2021,Q1,Materials,Doors,0.24,94.95
2021,Q1,Materials,Electrical fittings,0.51,100.6
2021,Q1,Materials,Glass and glass putty,0.16,106.12
2021,Q1,Materials,Hard core,8.37,104.95
2021,Q1,Materials,Locks and iron mongery,0.78,101.23
2021,Q1,Materials,Metal doors and windows,0.26,101.27
2021,Q1,Materials,Paints,1.06,100.01
2021,Q1,Materials,Paving blocks,2.06,111.63
2021,Q1,Materials,"Quarry products(waste,dust and murram)",1.27,102.86
2021,Q1,Materials,Roofing materials,0.7,93.95
2021,Q1,Materials,Sand,3.14,93.41
2021,Q1,Materials,Sanitary fittings,0.16,101.56
2021,Q1,Materials,Steel and reinforced bars,10.69,120.78
2021,Q1,Materials,Stones,2.42,96.77
2021,Q1,Materials,Tiles,0.84,104.3
2021,Q1,Materials,Timber and Wood,2.2,101.77
2021,Q1,Materials,Water fittings,0.11,101.6
2021,Q1,Materials,Water wastes,0.12,99.84
2021,Q1,Transport and Fuel,Fuel,3.99,97.09
2021,Q1,Transport and Fuel,Transport,5.99,105.65
2021,Q2,Equipment,Compressors,3.04,100.07
2021,Q2,Equipment,Equipment-Concrete Mixer,5.16,100.67
2021,Q2,Equipment,Equipment-Concrete poker / Vibrator,2.36,103.71
2021,Q2,Equipment,Equipment-Excavator and Pedestrian Roller,2.64,99.89
2021,Q2,Labour,Carpenter/Painter/Welder/Mechanic,3.53,104.54
2021,Q2,Labour,Casual,6.67,106.99
2021,Q2,Labour,Machine /plant operators,0.91,100.38
2021,Q2,Labour,Mason/foreman,7.8,104.29
2021,Q2,Labour,Plumber/Electrician,0.52,102.38
2021,Q2,Labour,Watchman,2.01,106.49
2021,Q2,Materials,Ballast,4.5,99.44
2021,Q2,Materials,Cement /Lime,14.18,97.66
2021,Q2,Materials,Chip boards and MDF,1.01,99.25
2021,Q2,Materials,Damp Proofing and Anti-termite,0.58,90.87
2021,Q2,Materials,Doors,0.24,100.07
2021,Q2,Materials,Electrical fittings,0.51,102.71
2021,Q2,Materials,Glass and glass putty,0.16,108.06
2021,Q2,Materials,Hard core,8.37,104.97
2021,Q2,Materials,Locks and iron mongery,0.78,104.8
2021,Q2,Materials,Metal doors and windows,0.26,103.67
2021,Q2,Materials,Paints,1.06,100.26
2021,Q2,Materials,Paving blocks,2.06,116.3
2021,Q2,Materials,"Quarry products(waste,dust and murram)",1.27,104.08
2021,Q2,Materials,Roofing materials,0.7,97.04
2021,Q2,Materials,Sand,3.14,94.79
2021,Q2,Materials,Sanitary fittings,0.16,102.43
2021,Q2,Materials,Steel and reinforced bars,10.69,126.87
2021,Q2,Materials,Stones,2.42,96.64
2021,Q2,Materials,Tiles,0.84,104.16
2021,Q2,Materials,Timber and Wood,2.2,102.64
2021,Q2,Materials,Water fittings,0.11,102.35
2021,Q2,Materials,Water wastes,0.12,102.3
2021,Q2,Transport and Fuel,Fuel,3.99,100.78
2021,Q2,Transport and Fuel,Transport,5.99,108.81
2021,Q3,Equipment,Equipment-Concrete Mixer,5.16,100.0
2021,Q3,Equipment,Equipment-Concrete poker / Vibrator,2.36,103.71
2021,Q3,Labour,Carpenter/Painter/Welder/Mechanic,3.53,104.54
2021,Q3,Labour,Casual,6.67,106.99
2021,Q3,Labour,Machine /plant operators,0.91,100.38
2021,Q3,Labour,Mason/foreman,7.8,104.29
2021,Q3,Labour,Plumber/Electrician,0.52,102.38
2021,Q3,Labour,Watchman,2.01,106.49
2021,Q3,Materials,Doors,0.24,101.5
2021,Q3,Materials,Electrical fittings,0.51,102.41
2021,Q3,Materials,Glass and glass putty,0.16,111.52
2021,Q3,Materials,Hard core,8.37,103.64
2021,Q3,Materials,Locks and iron mongery,0.78,104.89
2021,Q3,Materials,Metal doors and windows,0.26,101.27
2021,Q3,Materials,Paints,1.06,101.56
2021,Q3,Materials,Paving blocks,2.06,120.61
2021,Q3,Materials,"Quarry products(waste,dust and murram)",1.27,103.38
2021,Q3,Materials,Sanitary fittings,0.16,102.87
2021,Q3,Materials,Steel and reinforced bars,10.69,129.29
2021,Q3,Materials,Tiles,0.84,105.25
2021,Q3,Materials,Timber and Wood,2.2,100.66
2021,Q3,Materials,Water fittings,0.11,104.1
2021,Q3,Materials,Water wastes,0.12,103.34
2021,Q3,Transport and Fuel,Fuel,3.99,100.79
2021,Q3,Transport and Fuel,Transport,5.99,108.81
2021,Q4,Equipment,Compressors,3.04,99.45
2021,Q4,Equipment,Equipment-Concrete Mixer,5.16,97.99
2021,Q4,Equipment,Equipment-Concrete poker / Vibrator,2.36,103.71
2021,Q4,Equipment,Equipment-Excavator and Pedestrian Roller,2.64,100.01
2021,Q4,Labour,Carpenter/Painter/Welder/Mechanic,3.53,104.56
2021,Q4,Labour,Casual,6.67,106.99
2021,Q4,Labour,Machine /plant operators,0.91,100.61
2021,Q4,Labour,Mason/foreman,7.8,104.43
2021,Q4,Labour,Plumber/Electrician,0.52,102.38
2021,Q4,Labour,Watchman,2.01,106.49
2021,Q4,Materials,Ballast,4.5,97.96
2021,Q4,Materials,Cement /Lime,14.18,96.32
2021,Q4,Materials,Chip boards and MDF,1.01,98.66
2021,Q4,Materials,Damp Proofing and Anti-termite,0.58,91.84
2021,Q4,Materials,Doors,0.24,100.68
2021,Q4,Materials,Electrical fittings,0.51,102.79
2021,Q4,Materials,Glass and glass putty,0.16,114.18
2021,Q4,Materials,Hard core,8.37,103.64
2021,Q4,Materials,Locks and iron mongery,0.78,105.31
2021,Q4,Materials,Metal doors and windows,0.26,103.42
2021,Q4,Materials,Paints,1.06,102.13
2021,Q4,Materials,Paving blocks,2.06,120.61
2021,Q4,Materials,"Quarry products(waste,dust and murram)",1.27,103.9
2021,Q4,Materials,Roofing materials,0.7,101.61
2021,Q4,Materials,Sand,3.14,93.93
2021,Q4,Materials,Sanitary fittings,0.16,103.18
2021,Q4,Materials,Steel and reinforced bars,10.69,131.81
2021,Q4,Materials,Stones,2.42,95.35
2021,Q4,Materials,Tiles,0.84,104.53
2021,Q4,Materials,Timber and Wood,2.2,99.57
2021,Q4,Materials,Water fittings,0.11,101.5
2021,Q4,Materials,Water wastes,0.12,102.91
2021,Q4,Transport and Fuel,Fuel,3.99,102.3
2021,Q4,Transport and Fuel,Transport,5.99,108.9
2022,Q1,Equipment,Compressors,3.04,100.97
2022,Q1,Equipment,Equipment-Concrete Mixer,5.16,100.68
2022,Q1,Equipment,Equipment-Concrete poker / Vibrator,2.36,109.86
2022,Q1,Equipment,Equipment-Excavator and Pedestrian Roller,2.64,104.27
2022,Q1,Labour,Carpenter/Painter/Welder/Mechanic,3.53,106.51
2022,Q1,Labour,Casual,6.67,108.63
2022,Q1,Labour,Machine /plant operators,0.91,102.57
2022,Q1,Labour,Mason/foreman,7.8,106.48
2022,Q1,Labour,Plumber/Electrician,0.52,103.18
2022,Q1,Labour,Watchman,2.01,108.89
2022,Q1,Materials,Cement /Lime,14.18,102.52
2022,Q1,Materials,Doors,0.24,100.86
2022,Q1,Materials,Electrical fittings,0.51,112.44
2022,Q1,Materials,Glass and glass putty,0.16,124.38
2022,Q1,Materials,Hard core,8.37,107.67
2022,Q1,Materials,Locks and iron mongery,0.78,108.51
2022,Q1,Materials,Metal doors and windows,0.26,106.06
2022,Q1,Materials,Paints,1.06,103.16
2022,Q1,Materials,Paving blocks,2.06,124.01
2022,Q1,Materials,"Quarry products(waste,dust and murram)",1.27,104.42
2022,Q1,Materials,Roofing materials,0.7,102.0
2022,Q1,Materials,Sanitary fittings,0.16,109.83
2022,Q1,Materials,Steel and reinforced bars,10.69,183.72
2022,Q1,Materials,Tiles,0.84,109.97
2022,Q1,Materials,Water fittings,0.11,112.01
2022,Q1,Materials,Water wastes,0.12,104.6
2022,Q1,Transport and Fuel,Fuel,3.99,103.52
2022,Q1,Transport and Fuel,Transport,5.99,112.65
