county,cost_category,total_kes,percentage
Kiambu,Materials,1100000,41.0
Kiambu,Land,580000,21.6
Kiambu,Labour,440000,16.4
Kiambu,Compliance,280000,10.4
Kiambu,Overheads,280000,10.4
Mombasa,Materials,1050000,40.8
Mombasa,Land,620000,24.1
Mombasa,Labour,420000,16.3
Mombasa,Overheads,294000,11.4
Mombasa,Compliance,189000,7.3
Nairobi,Materials,1200000,36.4
Nairobi,Land,850000,25.8
Nairobi,Labour,480000,14.5
Nairobi,Compliance,420000,12.7
Nairobi,Overheads,350000,10.6
Nakuru,Materials,980000,45.9
Nakuru,Labour,392000,18.4
Nakuru,Land,320000,15.0
Nakuru,Overheads,245000,11.5
Nakuru,Compliance,196000,9.2
