Month, Overall_New_CPI,Inflation_Rate
2019-01-01,194.18,4.7
2019-02-01,195.78,4.14
2019-03-01,198.91,4.35
2019-04-01,205.9,6.58
2019-05-01,205.77,5.49
2019-06-01,204.34,5.7
2019-07-01,203.61,6.27
2019-08-01,201.78,5.0
2019-09-01,201.57,3.83
2019-10-01,202.12,4.95
2019-11-01,202.94,5.56
2019-12-01,204.77,5.82
2020-01-01,205.4,5.78
2020-02-01,107.174,7.17
2020-03-01,107.475,5.84
2020-04-01,108.495,6.01
2020-05-01,108.602,5.33
2020-06-01,108.266,4.59
2020-07-01,108.354,4.36
2020-08-01,108.573,4.36
2020-09-01,108.571,4.2
2020-10-01,109.604,4.84
2020-11-01,110.779,5.33
2020-12-01,111.866,5.62
2021-01-01,112.576,5.69
2021-02-01,113.365,5.78
2021-03-01,113.814,5.9
2021-04-01,114.746,5.76
2021-05-01,114.977,5.87
2021-06-01,115.11,6.32
2021-07-01,115.446,6.55
2021-08-01,115.71,6.57
2021-09-01,116.077,6.91
2021-10-01,116.674,6.45
2021-11-01,117.203,5.8
2021-12-01,118.274,5.73
2022-01-01,118.64,5.4
2022-02-01,119.13,5.1
2022-03-01,120.14,5.6
2022-04-01,122.17,6.5
2022-05-01,123.12,7.1
2022-06-01,124.22,7.9
2022-07-01,125.05,8.3
2022-08-01,125.58,8.5
2022-09-01,126.73,9.2
2022-10-01,127.86,9.6
2022-11-01,128.31,9.5
2022-12-01,128.99,9.1
2023-01-01,129.29,9.0
2023-02-01,130.13,9.2
2023-03-01,131.18,9.2
2023-04-01,131.83,7.9
2023-05-01,133.01,8.0
2023-06-01,134.01,7.9
2023-07-01,134.15,7.3
2023-08-01,134.02,6.7
2023-09-01,135.32,6.8
2023-10-01,136.71,6.9
2023-11-01,137.03,6.8
2023-12-01,137.55,6.6
2024-01-01,138.15,6.9
2024-02-01,138.34,6.3
2024-03-01,138.66,5.7
2024-04-01,138.4,5.0
2024-05-01,139.64,5.0
2024-06-01,140.23,4.6
2024-07-01,139.94,4.3
2024-08-01,139.87,4.4
2024-09-01,140.13,3.6
2024-10-01,140.44,2.7
2024-11-01,140.81,2.8
2024-12-01,141.66,3.0
