year,quarter,material,index_value
2019,Q1,cement,100.0
2019,Q1,steel,100.0
2019,Q1,timber,100.0
2019,Q2,cement,101.2
2019,Q2,steel,102.1
2019,Q2,timber,100.8
2019,Q3,cement,102.5
2019,Q3,steel,103.4
2019,Q3,timber,101.5
2019,Q4,cement,103.1
2019,Q4,steel,104.0
2019,Q4,timber,102.0
2020,Q1,cement,103.8
2020,Q1,steel,101.2
2020,Q1,timber,102.4
2020,Q2,cement,104.5
2020,Q2,steel,99.8
2020,Q2,timber,103.1
2020,Q3,cement,105.2
2020,Q3,steel,102.5
2020,Q3,timber,103.8
2020,Q4,cement,106.0
2020,Q4,steel,105.3
2020,Q4,timber,104.2
2021,Q1,cement,107.1
2021,Q1,steel,108.4
2021,Q1,timber,105.0
2021,Q2,cement,108.5
2021,Q2,steel,112.6
2021,Q2,timber,106.3
2021,Q3,cement,110.2
2021,Q3,steel,116.8
2021,Q3,timber,107.5
2021,Q4,cement,112.0
2021,Q4,steel,119.3
2021,Q4,timber,108.9
2022,Q1,cement,114.3
2022,Q1,steel,124.7
2022,Q1,timber,110.2
2022,Q2,cement,116.8
2022,Q2,steel,128.5
2022,Q2,timber,112.0
2022,Q3,cement,118.5
2022,Q3,steel,126.3
2022,Q3,timber,113.4
2022,Q4,cement,119.2
2022,Q4,steel,124.8
2022,Q4,timber,114.1
2023,Q1,cement,120.4
2023,Q1,steel,123.5
2023,Q1,timber,115.2
2023,Q2,cement,121.8
2023,Q2,steel,122.1
2023,Q2,timber,116.8
2023,Q3,cement,122.5
2023,Q3,steel,121.4
2023,Q3,timber,117.5
2023,Q4,cement,123.1
2023,Q4,steel,120.8
2023,Q4,timber,118.2
2024,Q1,cement,124.0
2024,Q1,steel,121.5
2024,Q1,timber,119.0
2024,Q2,cement,124.8
2024,Q2,steel,122.3
2024,Q2,timber,119.8
2024,Q3,cement,125.5
2024,Q3,steel,123.1
2024,Q3,timber,120.5
2024,Q4,cement,126.2
2024,Q4,steel,122.8
2024,Q4,timber,121.0
